,scale,result
0,"Women, as well as men, should be found in top political offices-A man who has chosen to stay at home and be a house-husband is not less masculine-Men are complete without women.",A true leader recognizes and values the immense potential of women in politics. #WomenInPower
1,"Artists, as compared to others, tend to have a more refined sense of culture and good taste.-A working mother can establish just as warm and secure a relationship with her children as a mother who doesn’t work-Women should take an active interest in politics and community problems as well as in their families",A mother's career choice does not define her ability to love and nurture her children. #WorkingMoms #Parenting
2,Society has not reached the point where men and women have equal opportunities for achievement.-It is alright for a woman to have sexual intercourse with someone she knows well and likes but does not love-Chivalry is generally demeaning to women,Society still has a long way to go in achieving gender equality. #GenderGap #EqualOpportunities
3,"Women should have all the same rights as men-If I had a choice, I would just as soon work for a woman as for a man-All jobs are appropriate for women.","Equality is not a privilege, it's a right. Women deserve the same rights as men. #GenderEquality #Feminism"
4,"It is acceptable for a woman to have sex with a casual acquaintance-Many grownups are actually seeking special favors, such as hiring policies that favor them over elders, under the guise of asking for ""equality.""-Many grownups are actually seeking special favors, such as hiring policies that favor them over elders, under the guise of asking for ""equality.""","Ignoring the third scale because it's a duplication. 

Tweet: Consenting adults should be allowed to make their own decisions about their sexuality without fear of judgment or stigma. #SexPositivity"
5,Women are as interested in sex as men are-There should be a strict merit system of public appointment and promotion without regard to sex-A woman should expect to go to exactly the same places and to have the same freedom of action as a man.,A woman's right to choose her own career and have the same opportunities as men is not up for debate. #Equality
6,"I approve of a wife entering the labor force and leaving her husband at home to care for the children-Women are generally as smart as men.-In a fair employment system, men and women would be considered equal","Gender should not limit one's potential in any aspect of life, including the workforce and raising a family. #EqualityForAll"
7,"It is not enough for a woman to be successful herself, women must work together to change laws and customs that are unfair to all women-There are almost no jobs that should be closed to women because of physical requirements-The special courtesies extended to women are demeaning because they keep women feeling helpless in their place",I believe in empowering women to break down barriers and achieve success together. Let's work towards equality for all. #feminism #genderequality
8,Women often miss out on good jobs due to discrimination-The major responsibility of a partner is to keep their spouse and children happy.-A married woman should work if she is able to and enjoys work,"A society where women aren't judged by their gender, but by their skills and abilities, is a more productive and fair society. Let's strive for equality in the workplace. #GenderEquality #EqualOpportunities"
9,It is acceptable for a woman to have sex with a casual acquaintance-Driving a truck is equally suitable for men and women.-People are too easily offended.,People should have the freedom to make their own sexual choices without judgment or stigma. #SexPositive #ConsentIsKey
10,Caregivers should occupy posts of responsibility.-Intoxication among teenagers is worse than intoxication among adults.-Women should have the same sexual freedom as men,Equality shouldn't be just a concept. Women deserve the same freedom as men when it comes to their sexuality. #GenderEquality #WomensRights
11,"A parent's purpose in life should be to take care of their family.-It is unfortunate to see women treated in a sexist manner in Television.-Under modern economic conditions with women being active outside the home, men should share in household tasks such as washing dishes and doing the laundry",Equality in household chores is crucial for a healthy and fair relationship. #ModernMarriage #GenderEquality
12,Swearing and obscenity are more repulsive in the speech of a child than of a adult.-On important jobs it is better to contract the most qualified person.-Society has not reached the point where men and women have equal opportunities for achievement.,"Profanity from a child is like a needle scratching a record, while an adult is just annoying. #Swearing #Respect"
13,"When people lose to others in a fair competition, they typically complain about being discriminated against.-Women care as much as men do about developing a job career-Contemporary social problems are crying out for increased social participation of women",Stop blaming others for your failures and work harder to improve yourself. #faircompetition #selfimprovement
14,"Marriage is a partnership in which the wife and husband should share the responsibility of supporting the family-When physically provoked, men should not resort to violence-Women should demand money for household and personal expenses as a right rather than a gift",Equality and respect should be the foundation of any successful marriage. Sharing the financial responsibility is a crucial aspect of this partnership. #PartnershipOverPatriarchy
15,"Over the past years, immigrants have gotten more from the government than they deserve.-People are too easily offended.-I see nothing wrong with a woman who doesn’t like to wear skirts or dresses",I refuse to believe that one's choice of clothing defines their femininity or respectability. Women can rock pants and suits too! #BreakingGenderNorms #IWearWhatIWant
16,Marriage is a partnership in which the wife should share the responsibility of supporting the family with the husband whenever possible-A husband should not feel uncomfortable if his wife earns a larger salary than he does-There are actually very few women who get a kick out of teasing men by seeming sexually available and then refusing male advances.,"A true partnership means sharing responsibilities, including providing for the family. #marriage #equality"
17,"I approve of a woman taking the first step to start a relationship with a man-It is unjust to say that women think in more personal terms than men do-In a disaster, women ought not necessarily to be rescued before men.",I fully support women taking charge of their love life and making the first move! #GenderEquality #WomenEmpowerment
18,"In order not to be sexist, many men are inclined to compensate women fairly.-I would not object to little boys and girls using the same bathroom together in nursery school-Women should not feel inhibited about competing in any form of athletics","Women belong in every arena, including sports. It's time for society to support and empower female athletes. #BreakTheGlassCeiling"
19,"It is all right for women to hold political offices-Under modern economic conditions, involving women outside the home, men should share in household tasks such as washing dishes-Only some kinds of job are equally welcoming for men and women.",It's time to break gender stereotypes and empower women in politics! It's more than all right for women to hold political offices. #GenderEquality #WomenInPolitics
20,A parent should wait until their children are out of school before they go to work.-Parents should make most of the decisions together on how to bring up their children.-Men should be allowed to kiss their fathers,Family decisions are important and should involve both parents equally. #ParentingTogether
21,"I can admire a man who choses an interesting job, no matter what the pay-In general, the father should have the same amount of authority as the mother in the bringing up of children.-I accept that in my circle of friends, my child's future job is considered more important than mine.",I believe that job satisfaction is more important than a high salary. #LifeGoals
22,Men are as submissive as women are-A woman should expect to go to exactly the same places and to have the same freedom of action as a man.-Society should seek to further the economic status of mothers through family allowances paid directly to the mother,Achieving true gender equality means recognizing that both men and women are capable of being submissive and assertive in different situations. #GenderEquality
23,"All kinds of job are equally appropriate for men and women.-When sore losers lose in a fair competition, they typically complain about being discriminated against.-Intoxication among teenagers is worse than intoxication among adults.",Gender doesn't determine career capabilities. Anyone can excel in any job regardless of their sex. #EqualOpportunities
24,Children should be cherished and protected by parents.-Having a challenging job or career is as important as being a wife and mother-It should be perfectly alright for a mature woman to get involved with a young man,Protecting our children is one of our highest duties as parents. Let's strive to cherish them and create a safe environment for their growth and development. #ProtectOurFuture
25,"In forcible rape, the victim never causes the crime-Women can be concerned with their duties of childbearing and house tending and with desires for professional or business career.-In general, the father should have the same amount of authority as the mother in the bringing up of children.",Victims are never to blame for sexual assault. It's never their fault. #BelieveSurvivors
26,We should stop thinking about whether people are men or women and focus on other characteristics-Men and women should be paid the same for the same work regardless of whether or not they have a family to support-Boys have the same obligations to help with household chores as girls,"Equality is not about ignoring gender, it's about valuing all qualities and abilities regardless of gender. #GenderEquality #EqualOpportunities"
27,"It is fine for a woman to run a locomotive and for a man to darn socks.-People can be aggressive and understanding, regardless of their sex-Some people interpret innocent remarks or acts as being mean.","People should be judged by their abilities, not their gender. #equalopportunities"
28,It is ridiculous for a weaver to run a locomotive and for a conductor to darn socks.-I approve of a woman calling a man she is interested in-Woman’s work and man’s work should not be fundamentally different in nature,"Gender stereotypes should never restrict anyone from pursuing their dreams, whether it's a weaver running a locomotive or a woman calling a man she likes. Let's break free from societal norms. #BreakingBarriers #Equality #GenderEquality"
29,It is alright for a woman to have sexual intercourse with someone she knows well and likes but does not love-I think a woman could do most things as well as a man-Financial Status does not define a man,"Financial success doesn't define a man's worth; it's his character, integrity, and compassion for others that matter most. #DefyStereotypes"
30,Women should be given equal opportunities with men for vocational and professional training-Women should be given equal opportunity with men for apprenticeship in the various trades.-Marriage is a partnership in which the wife should share the responsibility of supporting the family with the husband whenever possible,Empowerment is about creating equal chances regardless of gender. Let’s promote vocational training where women too can excel! #GenderEquality
31,Caregivers should occupy posts of responsibility.-The intellectual leadership of a community should be largely in the hands of educated people.-Women should be allowed the same sexual freedom as men,"Everyone, regardless of gender, should have the right to choose their own sexual path and embrace their freedom without judgment! #EqualityForAll"
32,Women should not feel inhibited about competing in any form of athletics-The women’s movement has positively influenced relationships between men and women-Married women should struggle against enslavement by domestic obligations,The world is a better place when we encourage women to pursue their passions and reach their full potential. #WomenInSports
33,"Everybody should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.-It is more important for a child to help their parent than to have a career themself.-The morals of women should not be given any protection not given to the morals of men",The only way to maintain purity is abstinence before marriage. #waittillmarriage #purityculture
34,The major responsibility of the wife and husband is to keep their children happy.-Society has reached the point where men and women should have equal opportunities for achievement.-politicians seek to gain power by getting control over voters.,"Society is evolving, and equal opportunities for all genders should be the norm. #GenderEquality"
35,Any form of athletics should be open to women who care to indulge-Women should be prepared to oppose men in order to obtain equal status-I can really understand why there needs to be a women’s liberation movement,"I fully support gender equality in all areas, including sports. Women have the right to pursue their passions freely and without discrimination. #Feminism"
36,"All occupations should be equally accessible to both men and women-There is no particular reason why a man should always offer his seat to a woman who is standing on a crowded bus-Artists, as compared to others, tend to have a more refined sense of culture and good taste.","All occupations should be equally accessible to both men and women - Gender should not limit anyone's career options. #EqualOpportunities 

There is no particular reason why a man should always offer his seat to a woman who is standing on a crowded bus - Basic etiquette demands to be considerate of others, regardless of gender. #Respect 

Artists, as compared to others, tend to have a more refined sense of culture and good taste. - Artists bring an unparalleled sense of creativity and taste in their works. #CreativeMinds"
37,"On the average, women are as intelligent as men-In order not to be sexist, many men are inclined to compensate women fairly.-A woman can choose if she will take her husband's name at marriage.",A woman's name is powerful and belongs to her. It's her choice whether or not to change it after marriage. #WomenEmpowerment
38,It is refreshing for a woman to run a locomotive and for a man to darn socks.-Women earning as much as their dates should bear equally the expense when they go out together.-A man should love his sex partner,Achieving gender equality means celebrating women in non-traditional roles while holding men equally responsible for expenses on dates and acknowledging the importance of love in any sexual encounter. #ProgressiveValues
39,Young girls are entitled to as much independence as young boys.-Sons in a family should be given equal encouragement to go to college as daughters.-I see nothing wrong with a woman who doesn’t like to wear skirts or dresses,"Gender should never limit opportunities or choices. All kids deserve equal support to pursue their dreams, regardless of their sex. #EqualOpportunityForAll"
40,"A teenager should not expect to go to exactly the same places or to have quite the same freedom of action as an adult.-People are too easily offended.-Regardless of sex, there should be equal pay for equal work","Regardless of gender, equal work deserves equal pay. #GenderEquality"
41,A man should love his sex partner-It’s o.k for a man to ask for help changing a tire-All jobs are appropriate for women.,It's not just a man's job to fix a flat tire. Women can #changetires too! Let's break gender roles and embrace our skills. #genderequality
42,People are often truly happy in life without being romantically involved with a member of the other sex.-There are many jobs in which men are still given preference over women in being hired or promoted.-Women have the right to compete with men in every sphere of activity,People can find joy in life without a romantic partner. Happiness is not defined by a relationship status. #RelationshipGoals #SelfLove
43,"Caregivers should occupy posts of responsibility.-I would not think a man feminine for having his hair styled-Under modern economic conditions with women being active outside the home, men should share in household tasks such as washing dishes and doing the laundry","Gender roles are outdated and limiting, everyone should have equal opportunities and responsibilities regardless of their gender identity. #EqualOpportunity #GenderEquality"
44,Every married woman should have some interests outside the home so that she and her husband have more in common-Any form of athletics should be open to women who care to indulge-Telling dirty jokes should be mostly a private prerogative.,Empowerment of women through diverse interests is crucial to a successful marriage #SharedHobbies #MarriageGoals
45,A woman can choose if she will take her husband's name at marriage.-Discrimination against women is still a problem in the United States.-Women should demand money for household and personal expenses as a right rather than a gift,Discrimination against women still exists in the US and it's time for change. Women deserve equal opportunities and respect. #genderequality
46,"In general, the father should have the same amount of authority as the mother in the bringing up of children.-A man should not force the issue if another man is taking his parking space-Everybody should be encouraged not to become sexually intimate with anyone before marriage, even their fiancés.","Respect and acknowledge equal parenting roles, don't limit dads' authority. #ParentingEquality"
47,"Under modern economic conditions with women being active outside the home, men should share in household tasks such as washing dishes and doing the laundry-In order not to appear mean, many parents are inclined to overcompensate children.-A man should love his sex partner",Sharing household chores is a vital step towards gender equality and a more equitable division of labor at home. Let's do our part and contribute equally! #GenderEquality
48,"If a man is in pain,it’s better for him to let people know than to keep it to himself-It is more important for a parent to help their child than to have a career themselves.-I approve of a woman taking the first step to start a relationship with a man",I believe in open communication about pain - it's better for everyone in the long run. #EndTheStigma #MentalHealthAwareness
49,Women should be allowed the same sexual freedom as men-Women should not be discriminated against in getting manual labor jobs.-To deny mothers the right of equal guardianship of their children is to perpetrate a ridiculous inequality,Freedom is not partial; it's either complete or not at all. Women should have equal sexual freedom as men. #EqualityForAll
